focal_agent,opponent,focal_color,trials,games,wins,draws,losses,win_rate,draw_rate,loss_rate,mean_score,mean_moves,mean_decision_time,mean_game_time
Agente con rollouts heuristicos,Agente con rollouts aleatorios,second,5.0,10,10,0,0,1.0,0.0,0.0,1.0,17.8,0.29456998092024433,2.526512779999757
Agente con rollouts heuristicos,Agente con rollouts aleatorios,second,10.0,10,8,1,1,0.8,0.1,0.1,0.7,20.3,0.5544323696593937,5.42883879999863
Agente con rollouts heuristicos,Agente con rollouts aleatorios,second,25.0,10,8,0,2,0.8,0.0,0.2,0.6,24.6,1.1123549863006583,14.069029339996632
Agente con rollouts heuristicos,Agente con rollouts aleatorios,second,50.0,10,10,0,0,1.0,0.0,0.0,1.0,23.6,2.1391085038888447,26.409010329999727
Agente con rollouts heuristicos,Agente con rollouts heuristicos,first,1.0,10,5,2,3,0.5,0.2,0.3,0.2,37.1,0.03288358208024682,1.227285580005264
Agente con rollouts heuristicos,Agente con rollouts heuristicos,first,5.0,10,6,4,0,0.6,0.4,0.0,0.6,35.0,0.20471087267312,6.756155520002357
Agente con rollouts heuristicos,Agente con rollouts heuristicos,first,10.0,10,4,2,4,0.4,0.2,0.4,0.0,34.6,0.37972098982772273,13.031477390002692
Agente con rollouts heuristicos,Agente con rollouts heuristicos,first,25.0,10,1,3,6,0.1,0.3,0.6,-0.5,35.7,0.8741286958885619,31.15875811999431
Agente con rollouts heuristicos,Agente con rollouts heuristicos,first,50.0,10,5,3,2,0.5,0.3,0.2,0.3,35.9,1.7334111064464892,64.09184838999936
Agente con rollouts heuristicos,Agente con rollouts heuristicos,second,1.0,10,3,2,5,0.3,0.2,0.5,-0.2,37.1,0.03321863453849106,1.227285580005264
Agente con rollouts heuristicos,Agente con rollouts heuristicos,second,5.0,10,0,4,6,0.0,0.4,0.6,-0.6,35.0,0.20902464959185263,6.756155520002357
Agente con rollouts heuristicos,Agente con rollouts heuristicos,second,10.0,10,4,2,4,0.4,0.2,0.4,0.0,34.6,0.39144169040533666,13.031477390002692
Agente con rollouts heuristicos,Agente con rollouts heuristicos,second,25.0,10,6,3,1,0.6,0.3,0.1,0.5,35.7,0.9159680405417635,31.15875811999431
Agente con rollouts heuristicos,Agente con rollouts heuristicos,second,50.0,10,2,3,5,0.2,0.3,0.5,-0.3,35.9,1.943997096255962,64.09184838999936
Agente con rollouts heuristicos,Random,first,1.0,10,10,0,0,1.0,0.0,0.0,1.0,9.0,0.05893344575270017,0.29553634999901984
Agente con rollouts heuristicos,Random,first,5.0,10,10,0,0,1.0,0.0,0.0,1.0,8.6,0.2150785576806707,1.0724804299941753
Agente con rollouts heuristicos,Random,first,10.0,10,10,0,0,1.0,0.0,0.0,1.0,11.8,0.558146130488766,3.4067111599986672
Agente con rollouts heuristicos,Random,first,25.0,10,10,0,0,1.0,0.0,0.0,1.0,11.4,1.2979715876948386,7.916408090002369
Agente con rollouts heuristicos,Random,first,50.0,10,10,0,0,1.0,0.0,0.0,1.0,10.6,2.6037807117026905,14.95020948999736
Agente con rollouts heuristicos,Random,second,1.0,10,10,0,0,1.0,0.0,0.0,1.0,12.6,0.06326061224934539,0.3881382899970049
Agente con rollouts heuristicos,Random,second,5.0,10,10,0,0,1.0,0.0,0.0,1.0,12.6,0.32706436643002057,2.035389120000764
Agente con rollouts heuristicos,Random,second,10.0,10,10,0,0,1.0,0.0,0.0,1.0,15.4,0.6228854356309153,4.744151730003068
Agente con rollouts heuristicos,Random,second,25.0,10,10,0,0,1.0,0.0,0.0,1.0,10.6,1.5916678508466497,8.507409090001602
Agente con rollouts heuristicos,Random,second,50.0,10,10,0,0,1.0,0.0,0.0,1.0,11.0,3.657160600586393,19.572299639997073
Random,Agente con rollouts aleatorios,first,,600,52,0,548,0.08666666666666667,0.0,0.9133333333333333,-0.8266666666666667,14.98,6.659335967598368e-05,1.3488826251672192
Random,Agente con rollouts aleatorios,second,,600,27,1,572,0.045,0.0016666666666666668,0.9533333333333334,-0.9083333333333333,12.873333333333333,4.3850821408605625e-05,1.52696033033261
Random,Agente con rollouts heuristicos,first,,50,0,0,50,0.0,0.0,1.0,-1.0,12.44,1.919997668248045e-05,7.049477573999902
Random,Agente con rollouts heuristicos,second,,50,0,0,50,0.0,0.0,1.0,-1.0,10.28,1.8354168685093828e-05,5.528269103998318
