experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,s_trials,laura_simulations,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
S_vs_Laura_alternating_50,S_vs_Laura_game_008,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,8,2034,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,7,10.399759499996435,2.0830742249672767,8.332296899869107,4
S_vs_Laura_alternating_50,S_vs_Laura_game_008,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,8,2034,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,7,10.399759499996435,0.6890823333330142,2.0672469999990426,3
S_vs_Laura_alternating_50,S_vs_Laura_game_009,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,9,2035,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,24,31.968537500011735,0.6500890666696554,7.801068800035864,12
S_vs_Laura_alternating_50,S_vs_Laura_game_009,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,9,2035,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,24,31.968537500011735,2.013852391668479,24.166228700021747,12
S_vs_Laura_alternating_50,S_vs_Laura_game_010,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,10,2036,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,7,10.597862800001167,2.1032635500014294,8.413054200005718,4
S_vs_Laura_alternating_50,S_vs_Laura_game_010,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,10,2036,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,7,10.597862800001167,0.728203133350083,2.184609400050249,3
S_vs_Laura_alternating_50,S_vs_Laura_game_011,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,11,2037,Agente Laura MCTS,50,100,draw,Draw,draw,0,42,41.895245200023055,0.5068694285804495,10.644258000189438,21
S_vs_Laura_alternating_50,S_vs_Laura_game_011,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,11,2037,Agente Laura MCTS,50,100,draw,Draw,draw,0,42,41.895245200023055,1.4879958904708648,31.24791369988816,21
S_vs_Laura_alternating_50,S_vs_Laura_game_012,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,12,2038,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,37,33.32746339996811,1.3286936157873195,25.24517869995907,19
S_vs_Laura_alternating_50,S_vs_Laura_game_012,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,12,2038,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,37,33.32746339996811,0.4488987888875676,8.080178199976217,18
S_vs_Laura_alternating_50,S_vs_Laura_game_013,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,13,2039,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,26,31.313959200051613,0.6319177153860577,8.21493030001875,13
S_vs_Laura_alternating_50,S_vs_Laura_game_013,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,13,2039,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,26,31.313959200051613,1.7767335692232546,23.09753639990231,13
