experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,laura_simulations,mario_agent,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_008,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,8,2034,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.67032819997985,0.004184993344824761,0.06277490017237142,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_009,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,9,2035,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.606118600000627,0.003682434992515482,0.07364869985030964,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_009,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,9,2035,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.606118600000627,0.5265120650059544,10.530241300119087,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_010,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,10,2036,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.634969700011425,0.6380812066645982,9.571218099968974,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_010,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,10,2036,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.634969700011425,0.00415137333329767,0.06227059999946505,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_011,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,11,2037,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.723645999969449,0.0038513900071848184,0.07702780014369637,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_011,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,11,2037,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.723645999969449,0.5322144300036598,10.644288600073196,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_012,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,12,2038,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.557858899992425,0.6329184200071419,9.493776300107129,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_012,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,12,2038,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.557858899992425,0.004172913338212917,0.06259370007319376,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_013,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,13,2039,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.69896719994722,0.00389850000210572,0.0779700000421144,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_013,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,13,2039,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.69896719994722,0.5309359100006986,10.618718200013973,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_014,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,14,2040,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.763062999991234,0.6464621600074073,9.696932400111109,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_014,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,14,2040,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.763062999991234,0.004307440008657674,0.06461160012986511,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_015,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,15,2041,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.538243299990427,0.003818905004300177,0.07637810008600354,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_015,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,15,2041,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.538243299990427,0.5229800050001359,10.459600100002717,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_016,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,16,2042,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.592767000023741,0.6352456666800814,9.528685000201222,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_016,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,16,2042,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.592767000023741,0.004173853341490031,0.06260780012235045,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_017,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,17,2043,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.668750500015449,0.0038206900033401327,0.07641380006680265,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_017,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,17,2043,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.668750500015449,0.5295025550032733,10.590051100065466,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_018,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,18,2044,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.755727800016757,0.6459843399973276,9.689765099959914,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_018,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,18,2044,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.755727800016757,0.004294313323528817,0.06441469985293224,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_019,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,19,2045,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.751879199990071,0.003812704997835681,0.07625409995671362,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_019,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,19,2045,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.751879199990071,0.5336675649974495,10.67335129994899,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_020,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,20,2046,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.673362599976826,0.6406276800048848,9.609415200073272,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_020,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,20,2046,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.673362599976826,0.00416395333983625,0.062459300097543746,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_021,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,21,2047,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.77188469999237,0.003755269999965094,0.07510539999930188,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_021,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,21,2047,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.77188469999237,0.5347259000031045,10.69451800006209,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_022,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,22,2048,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.755122600006871,0.6461095266703827,9.69164290005574,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_022,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,22,2048,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.755122600006871,0.00413293334034582,0.0619940001051873,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_023,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,23,2049,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.774246099987067,0.0038353150011971593,0.07670630002394319,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_023,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,23,2049,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.774246099987067,0.5347598249965813,10.695196499931626,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_024,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,24,2050,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.838741099985782,0.6516604066554768,9.774906099832151,15
