experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_8,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,8,2034,agent_1,Agente con rollouts aleatorios,loss,-1,15,0.2281238999858033,6.785714400133916e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_9,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,9,2035,agent_1,Agente con rollouts aleatorios,win,1,11,0.160667000018293,0.0261526166577823
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_9,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,9,2035,agent_1,Agente con rollouts aleatorios,loss,-1,11,0.160667000018293,7.762000313960016e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_10,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,10,2036,agent_1,Agente con rollouts aleatorios,win,1,29,0.2902981000079307,0.0181708000018261
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_10,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,10,2036,agent_1,Agente con rollouts aleatorios,loss,-1,29,0.2902981000079307,7.514285971410573e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_11,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,11,2037,agent_1,Agente con rollouts aleatorios,win,1,7,0.0869819999788887,0.0212460000111605
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_11,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,11,2037,agent_1,Agente con rollouts aleatorios,loss,-1,7,0.0869819999788887,7.383334256398182e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_12,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,12,2038,agent_2,Random,loss,-1,20,0.3269595000019762,0.0318563199980417
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_12,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,12,2038,agent_2,Random,win,1,20,0.3269595000019762,7.100000511854887e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_13,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,13,2039,agent_1,Agente con rollouts aleatorios,win,1,21,0.2952982000133488,0.026075509093723
