experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,s_trials,mario_agent,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
S_vs_Mario_alternating_50,S_vs_Mario_game_008,Agente con rollouts heuristicos,Agente Mario,Agente Mario,agent_2,Agente con rollouts heuristicos,second,0,50,0,8,2034,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,loss,-1,7,7.448939000023529,0.003896666671304653,0.01169000001391396,3
S_vs_Mario_alternating_50,S_vs_Mario_game_009,Agente Mario,Agente con rollouts heuristicos,Agente Mario,agent_1,Agente con rollouts heuristicos,first,0,50,0,9,2035,Agente Mario,50,Winner,draw,Draw,draw,0,42,26.06083710002713,0.004418733344036376,0.0927934002247639,21
S_vs_Mario_alternating_50,S_vs_Mario_game_009,Agente Mario,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Mario,second,50,0,50,9,2035,Agente Mario,50,Winner,draw,Draw,draw,0,42,26.06083710002713,1.2364420333289585,25.96528269990813,21
S_vs_Mario_alternating_50,S_vs_Mario_game_010,Agente con rollouts heuristicos,Agente Mario,Agente con rollouts heuristicos,agent_1,Agente Mario,first,50,0,50,10,2036,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,win,1,7,7.647089500038419,1.9087252499884926,7.63490099995397,4
S_vs_Mario_alternating_50,S_vs_Mario_game_010,Agente con rollouts heuristicos,Agente Mario,Agente Mario,agent_2,Agente con rollouts heuristicos,second,0,50,0,10,2036,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,loss,-1,7,7.647089500038419,0.003992133347007136,0.011976400041021407,3
S_vs_Mario_alternating_50,S_vs_Mario_game_011,Agente Mario,Agente con rollouts heuristicos,Agente Mario,agent_1,Agente con rollouts heuristicos,first,0,50,0,11,2037,Agente Mario,50,Winner,agent_2,Agente con rollouts heuristicos,loss,-1,24,23.631637800019234,0.004837733339324283,0.0580528000718914,12
S_vs_Mario_alternating_50,S_vs_Mario_game_011,Agente Mario,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Mario,second,50,0,50,11,2037,Agente Mario,50,Winner,agent_2,Agente con rollouts heuristicos,win,1,24,23.631637800019234,1.964368275012627,23.572419300151523,12
S_vs_Mario_alternating_50,S_vs_Mario_game_012,Agente con rollouts heuristicos,Agente Mario,Agente con rollouts heuristicos,agent_1,Agente Mario,first,50,0,50,12,2038,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,win,1,7,7.964596400037408,1.9879093499912415,7.951637399964966,4
S_vs_Mario_alternating_50,S_vs_Mario_game_012,Agente con rollouts heuristicos,Agente Mario,Agente Mario,agent_2,Agente con rollouts heuristicos,second,0,50,0,12,2038,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,loss,-1,7,7.964596400037408,0.004254966663817565,0.012764899991452694,3
S_vs_Mario_alternating_50,S_vs_Mario_game_013,Agente Mario,Agente con rollouts heuristicos,Agente Mario,agent_1,Agente con rollouts heuristicos,first,0,50,0,13,2039,Agente Mario,50,Winner,draw,Draw,draw,0,42,26.313259400019888,0.0044640428497500365,0.09374489984475076,21
S_vs_Mario_alternating_50,S_vs_Mario_game_013,Agente Mario,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Mario,second,50,0,50,13,2039,Agente Mario,50,Winner,draw,Draw,draw,0,42,26.313259400019888,1.248417014294925,26.21675730019342,21
S_vs_Mario_alternating_50,S_vs_Mario_game_014,Agente con rollouts heuristicos,Agente Mario,Agente con rollouts heuristicos,agent_1,Agente Mario,first,50,0,50,14,2040,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,win,1,7,7.595250700018369,1.8950538000062807,7.580215200025123,4
S_vs_Mario_alternating_50,S_vs_Mario_game_014,Agente con rollouts heuristicos,Agente Mario,Agente Mario,agent_2,Agente con rollouts heuristicos,second,0,50,0,14,2040,Agente con rollouts heuristicos,50,Winner,agent_1,Agente con rollouts heuristicos,loss,-1,7,7.595250700018369,0.004938066684796165,0.014814200054388493,3
S_vs_Mario_alternating_50,S_vs_Mario_game_015,Agente Mario,Agente con rollouts heuristicos,Agente Mario,agent_1,Agente con rollouts heuristicos,first,0,50,0,15,2041,Agente Mario,50,Winner,agent_2,Agente con rollouts heuristicos,loss,-1,24,24.274704700044822,0.004733866667568994,0.05680640001082793,12
S_vs_Mario_alternating_50,S_vs_Mario_game_015,Agente Mario,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Mario,second,50,0,50,15,2041,Agente Mario,50,Winner,agent_2,Agente con rollouts heuristicos,win,1,24,24.274704700044822,2.018064991668022,24.216779900016263,12
